pointid,grid_code,POINT_X,POINT_Y,z1pt0,z2pt5
"68796",1000.0000000000,177.3926549500,-38.6292368380,8.266183243909415,0.443316179892164
"68797",993.5440000000,177.4026549500,-38.6292368380,8.473164228779808,0.446613178670294
"69124",1000.0000000000,177.0326549500,-38.6392368380,8.266183243909415,0.443316179892164
"69125",1000.0000000000,177.0426549500,-38.6392368380,8.266183243909415,0.443316179892164
"69126",1000.0000000000,177.0526549500,-38.6392368380,8.266183243909415,0.443316179892164
"69127",944.4710000000,177.0626549500,-38.6392368380,10.280960065516032,0.473257812964844
"69128",849.5150000000,177.0726549500,-38.6392368380,15.404093997704432,0.534246762567745
"69129",858.8070000000,177.0826549500,-38.6392368380,14.777990879800962,0.527639188432843
"69130",1000.0000000000,177.0926549500,-38.6392368380,8.266183243909415,0.443316179892164
"69131",1000.0000000000,177.1026549500,-38.6392368380,8.266183243909415,0.443316179892164
