Lon,Lat,Vs30,Z2.5,Z1.0
177.042655,-38.63923684,1000,0.44331618,8.266183244
177.052655,-38.63923684,1000,0.44331618,8.266183244
177.062655,-38.63923684,944.471,0.473257813,10.28096007
177.072655,-38.63923684,849.515,0.534246763,15.404094
177.082655,-38.63923684,858.807,0.527639188,14.77799088
177.092655,-38.63923684,1000,0.44331618,8.266183244
177.102655,-38.63923684,1000,0.44331618,8.266183244
177.112655,-38.63923684,1000,0.44331618,8.266183244
177.122655,-38.63923684,1000,0.44331618,8.266183244
177.132655,-38.63923684,1000,0.44331618,8.266183244
177.142655,-38.63923684,943.855,0.473611175,10.30659787
177.152655,-38.63923684,898.696,0.500934022,12.42755635
177.162655,-38.63923684,894.371,0.503706231,12.65846132
177.172655,-38.63923684,897.531,0.501677938,12.48922799
177.182655,-38.63923684,938.995,0.476416496,10.51172299
177.192655,-38.63923684,994.328,0.446210351,8.447683023
177.202655,-38.63923684,1000,0.44331618,8.266183244
177.212655,-38.63923684,1000,0.44331618,8.266183244
177.222655,-38.63923684,1000,0.44331618,8.266183244
177.232655,-38.63923684,1000,0.44331618,8.266183244
177.242655,-38.63923684,1000,0.44331618,8.266183244
177.252655,-38.63923684,1000,0.44331618,8.266183244
177.312655,-38.63923684,804.84,0.568305494,18.92712262
177.322655,-38.63923684,956.238,0.466601446,9.806299974
177.332655,-38.63923684,974.775,0.456464459,9.113189553
177.342655,-38.63923684,996.084,0.445310565,8.390959973
177.352655,-38.63923684,806.285,0.56714048,18.79817945
177.362655,-38.63923684,821.715,0.55497384,17.48783655
177.372655,-38.63923684,837.415,0.543086967,16.27034273
177.382655,-38.63923684,897.526,0.501681135,12.4894935
177.392655,-38.63923684,997.404,0.444636425,8.348636698
177.402655,-38.63923684,1000,0.44331618,8.266183244
177.412655,-38.63923684,1000,0.44331618,8.266183244
177.422655,-38.63923684,1000,0.44331618,8.266183244
177.432655,-38.63923684,1000,0.44331618,8.266183244
177.442655,-38.63923684,972.845,0.457500576,9.182409944
177.022655,-38.64923684,1000,0.44331618,8.266183244
177.032655,-38.64923684,1000,0.44331618,8.266183244
177.042655,-38.64923684,1000,0.44331618,8.266183244
177.052655,-38.64923684,1000,0.44331618,8.266183244
